json_file,pdf_path_original,pdf_path_wsl,exists,status
/home/pantera/projects/TEIA/python_backend_legacy/dataset/003405b70c26a0b2ef1ada1c4e2d07c3b83fe450b217876169de5aa9c5e2b234.json,C:\Users\luano\Zotero\storage\2SCRSVZP\JVRG9M6B.pdf,/mnt/c/Users/luano/Zotero/storage/2SCRSVZP/JVRG9M6B.pdf,true,ok
/home/pantera/projects/TEIA/python_backend_legacy/dataset/01f1633087008065730cb6235ce84446d42df32db584e7e45f4265a73f2635e7.json,C:\Users\luano\Zotero\storage\KZRI5IJ9\9EESWTEB.pdf,/mnt/c/Users/luano/Zotero/storage/KZRI5IJ9/9EESWTEB.pdf,true,ok
/home/pantera/projects/TEIA/python_backend_legacy/dataset/02dd7fdc3d38cbdc38c6bd81882ff62ea9b8774880c7f7e40d9c27cf9e0d9be0.json,C:\Users\luano\Zotero\storage\EESGXCKM\8MJW96I5.pdf,/mnt/c/Users/luano/Zotero/storage/EESGXCKM/8MJW96I5.pdf,true,ok
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03092dca8cc24e2624208d831c777ab72f62e9ab0f476395582e71edefe9539d.json,C:\Users\luano\Zotero\storage\BTWTATHA\ssrn_id2734419_code2091508.pdf,/mnt/c/Users/luano/Zotero/storage/BTWTATHA/ssrn_id2734419_code2091508.pdf,true,ok
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03640a730b45ecf77e2829db267886d4ef373cf952fe952220d2bdb181b2a809.json,C:\Users\luano\Zotero\storage\SRSXF7CA\Lotrionte - 2018 - Reconsidering the Consequences for State-Sponsored Hostile Cyber Operations Under International Law.pdf,/mnt/c/Users/luano/Zotero/storage/SRSXF7CA/Lotrionte - 2018 - Reconsidering the Consequences for State-Sponsored Hostile Cyber Operations Under International Law.pdf,true,ok
/home/pantera/projects/TEIA/python_backend_legacy/dataset/037497fb1509e0fbd0753da6e5181775894b1117970ec1dae72df4b990dc3fd9.json,C:\Users\luano\Zotero\storage\PJU948YM\Knake - 2010 - Untangling attribution moving to accountability in cyberspace.pdf,/mnt/c/Users/luano/Zotero/storage/PJU948YM/Knake - 2010 - Untangling attribution moving to accountability in cyberspace.pdf,true,ok
/home/pantera/projects/TEIA/python_backend_legacy/dataset/03d628e763229d646aeb8c82b4d78be0f5120e31a1fde479dbc33f888ca05eaf.json,C:\Users\luano\Zotero\storage\EUATRQXD\4999418.pdf,/mnt/c/Users/luano/Zotero/storage/EUATRQXD/4999418.pdf,true,ok
/home/pantera/projects/TEIA/python_backend_legacy/dataset/0411f53fe6c4329dcaecf3e3eaa519c57d758f3e83d0ff1698b8449c23228452.json,C:\Users\luano\Zotero\storage\3MJ69JXG\C2TPMBBF.pdf,/mnt/c/Users/luano/Zotero/storage/3MJ69JXG/C2TPMBBF.pdf,true,ok
/home/pantera/projects/TEIA/python_backend_legacy/dataset/04a8f917d910dabe8e35360e6d8a4af05c04154a8a3b883aa5b6c6b0197eb6bc.json,C:\Users\luano\Zotero\storage\Y2WGZPCI\Whyte - 2020 - Cyber conflict or democracy “hacked” How cyber operations enhance information warfare.pdf,/mnt/c/Users/luano/Zotero/storage/Y2WGZPCI/Whyte - 2020 - Cyber conflict or democracy “hacked” How cyber operations enhance information warfare.pdf,true,ok
/home/pantera/projects/TEIA/python_backend_legacy/dataset/0667c49a4b4ecd3c48f709a537a16e5d68ce198e8c7ce904a810718d43502163.json,C:\Users\luano\Zotero\storage\SFZJZQB4\B5FFDB4Q.pdf,/mnt/c/Users/luano/Zotero/storage/SFZJZQB4/B5FFDB4Q.pdf,true,ok
